PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-04-22,18:03:52.18,1,1,"Huff, Chance",8890974,Right,GIT_YEL,"Mooney, Alex",1000071767,Right,DUK_BLU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,,94.89704,-1.675893,-3.575194,2224.555255,222.701831,1:30,5.79811,1.65931,4.99632,-16.01761,16.27454,14.02394,2.87756,-0.55177,86.27073,-4.676972,-1.105851,0.408997,99.61598,26.403047,3.997975,2989.202245,109.11716,51.33278,13.90564,385.96871,,14.229631,4.947925,-7.97591,8.85512,-1.32712,50,5.62425,7.88238,-137.34766,-4.6127,-15.19728,31.13663,-15.30151,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,19c674e0-c288-11ec-91bc-95a4c9711d94,92.15827,74.86612,,8.62631,,,,0.99326,2.87275,0.53925,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,22:03:52.18,2022-04-22T18:03:52.1801426-04:00,2022-04-22T22:03:52.1801426Z,FlyBall,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,7ce44861-235d-41c3-8c87-d5e36059285b,55.50163,-138.58927,15.56831,5.79602,-4.00253,-7.65075,-1.65352,8.48839,-7.59864,215.306539,0.99669,130.47877,-23.20604,4.68673,-0.7149,0.06218,-0.00465,0.00105,-0.0001,2.87143,64.98599,-15.94996,0.58549,0.05994,-0.07414,0.02873,-0.0047,0.00028,0.53875,9.12905,6.74164,-2.47239,0.6555,-0.13843,0.0231,-0.00247,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2022-04-22,18:04:40.10,2,1,"Huff, Chance",8890974,Right,GIT_YEL,"Pauley, Graham",1000051136,Left,DUK_BLU,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.14176,1.198679,-1.07283,2681.755828,65.661424,8:15,5.4172,1.89629,4.60739,-44.58463,-2.18886,-7.74288,2.842,0.23078,76.22966,-6.814301,-2.430266,0.468633,,,,,,,,,,,,3.47603,-0.9889,-1.77827,50,5.49935,2.61213,-120.56123,0.72894,5.11944,23.2952,-33.6305,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,3651bcf0-c288-11ec-91bc-95a4c9711d94,80.43063,,,6.9121,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,22:04:40.10,2022-04-22T18:04:40.1078482-04:00,2022-04-22T22:04:40.1078482Z,,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,8a992215-d427-4391-9595-8dddc1acc59c,55.89138,-121.69425,11.6476,5.42412,2.36465,-16.81525,-1.89926,2.36313,2.55972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-04-22,18:04:53.11,2,2,"Huff, Chance",8890974,Right,GIT_YEL,"Pauley, Graham",1000051136,Left,DUK_BLU,Undefined,1,Top,0,0,1,Curveball,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,79.75259,0.409657,0.004851,2648.930601,50.059966,7:45,5.45544,1.85583,4.60336,-58.52783,-11.88005,-16.1065,0.9677,0.51823,72.74729,-10.050117,-2.827537,0.491572,71.65746,-29.515553,63.237613,,,,,3.83896,,19.556553,0.022734,7.92193,-5.56055,-1.84035,50,5.44278,0.68688,-115.59551,-1.45398,10.56231,24.48673,-39.58791,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,3e251080-c288-11ec-91bc-95a4c9711d94,76.67739,1.17908,,7.0053,,,,2.67967,1.17908,-0.57456,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,22:04:53.11,2022-04-22T18:04:53.1149010-04:00,2022-04-22T22:04:53.1149010Z,GroundBall,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,3533e5fe-ea5d-44f5-ae81-452748c9f5ed,55.89811,-116.83823,12.24337,5.46559,0.55514,-19.79395,-1.8616,0.15084,5.28116,,2.67943,41.25003,,,,,,,,1.17939,-51.86181,,,,,,,,-0.57505,81.79457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
4,2022-04-22,18:05:14.13,2,3,"Huff, Chance",8890974,Right,GIT_YEL,"Pauley, Graham",1000051136,Left,DUK_BLU,Undefined,1,Top,0,0,2,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,96.13149,-1.562065,-1.893301,2285.256856,229.119911,1:45,5.86152,1.61654,5.00393,-16.70481,14.66505,15.7482,2.99374,1.14102,87.49742,-4.677804,0.886334,0.403114,77.70343,39.883216,-123.655202,2912.739919,,,,,,,,-8.3593,8.01894,-1.44815,50,5.69846,3.81255,-139.34662,-4.43713,-16.39103,32.11643,-16.45037,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,4a95e100-c288-11ec-91bc-95a4c9711d94,93.50322,29.54486,,8.63408,,,,1.13968,3.04242,-1.04014,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,22:05:14.13,2022-04-22T18:05:14.1390034-04:00,2022-04-22T22:05:14.1390034Z,,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,4488b7ed-f756-4774-9f4d-9f7a4a299c47,55.49434,-140.60725,16.05822,5.85995,-3.79143,-8.22519,-1.61043,4.45593,-8.19552,,1.14772,-48.71309,-0.61427,,,,,,,3.06281,72.45756,-28.88666,,,,,,,-1.0528,-72.4097,12.59301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
5,2022-04-22,18:05:30.72,2,4,"Huff, Chance",8890974,Right,GIT_YEL,"Pauley, Graham",1000051136,Left,DUK_BLU,Undefined,1,Top,0,0,2,Curveball,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,,81.88464,-0.376669,-1.675614,2641.2631,66.805226,8:15,5.5236,1.78756,4.64438,-50.11428,-6.10902,-17.61013,0.98932,-1.27264,75.0728,-9.33242,-4.768028,0.477445,,,,,,,,,,,,8.25973,-2.63209,-1.59871,50,5.43864,4.22956,-118.69839,-2.73261,11.67102,24.75458,-35.89322,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,548d9b30-c288-11ec-91bc-95a4c9711d94,78.94607,,,6.81184,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,22:05:30.72,2022-04-22T18:05:30.7246802-04:00,2022-04-22T22:05:30.7246802Z,,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,050aaf91-913b-4a96-af83-f2bfdeb24241,55.85748,-119.91375,12.37729,5.52954,-0.97039,-17.94661,-1.7923,3.65656,5.83551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-04-22,18:06:06.90,3,1,"Huff, Chance",8890974,Right,GIT_YEL,"Schreck, R.J.",1000029032,Left,DUK_BLU,Undefined,1,Top,0,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.89495,0.609044,-0.701734,2662.893447,95.187197,9:15,5.11428,2.19092,4.80222,-40.44317,1.78602,-5.48835,2.32114,1.06864,76.1588,-6.699219,-1.667712,0.467711,,,,,,,,,,,,2.51024,1.10382,-2.11604,50,5.13983,1.71719,-120.28462,-0.28344,3.68827,22.70298,-30.5522,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,6a120770-c288-11ec-91bc-95a4c9711d94,80.58914,,,6.73615,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,22:06:06.90,2022-04-22T18:06:06.9062866-04:00,2022-04-22T22:06:06.9062866Z,,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,c7d566dd-58d2-4fdd-86cb-49c9d6d102e0,55.6963,-121.355,11.35149,5.11924,1.157,-15.2761,-2.1929,1.5433,1.84414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-04-22,18:06:25.26,3,2,"Huff, Chance",8890974,Right,GIT_YEL,"Schreck, R.J.",1000029032,Left,DUK_BLU,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.57115,-3.212646,-2.97953,2155.647922,233.07834,1:45,5.49071,1.92806,5.10853,-17.38576,15.09832,18.6093,1.00784,0.66915,85.97117,-6.453686,0.309313,0.41021,,,,,,,,,,,,-10.13288,8.77611,-1.66241,50,5.17432,6.20555,-136.80612,-8.32826,-19.10486,31.63063,-15.6273,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,74fd9780-c288-11ec-91bc-95a4c9711d94,91.88561,,,8.59999,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,22:06:25.26,2022-04-22T18:06:25.2616402-04:00,2022-04-22T22:06:25.2616402Z,,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,9166d963-8fc3-4c2f-aebf-cdd1481aa9ae,55.38968,-138.04663,15.81532,5.48892,-7.71538,-7.81365,-1.92048,6.95482,-9.55243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-04-22,18:06:47.49,3,3,"Huff, Chance",8890974,Right,GIT_YEL,"Schreck, R.J.",1000029032,Left,DUK_BLU,Undefined,1,Top,0,1,1,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,93.19443,-1.627927,-2.698196,2178.068897,232.968602,1:45,5.40816,1.99259,5.03488,-20.69922,12.8341,15.47631,2.14527,0.73483,84.48645,-5.466907,0.033568,0.416783,,,,,,,,,,,,-8.49422,7.18796,-1.74785,50,5.23647,5.60246,-134.93931,-4.62875,-15.54391,31.4291,-19.02056,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,82436b40-c288-11ec-91bc-95a4c9711d94,90.43667,,,8.70798,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,22:06:47.49,2022-04-22T18:06:47.4989778-04:00,2022-04-22T22:06:47.4989778Z,,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,64ea9a5a-4d9a-47ec-ad11-4b13633ee9ce,55.46264,-136.20569,15.71455,5.40753,-3.86235,-9.51028,-1.98621,6.22878,-7.77196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-04-22,18:07:26.85,3,4,"Huff, Chance",8890974,Right,GIT_YEL,"Schreck, R.J.",1000029032,Left,DUK_BLU,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,LineDrive,Single,0,0,,86.63818,0.597311,-0.694917,2650.637744,58.817279,8:00,5.206,2.09535,4.81736,-41.61731,-3.14599,-7.03977,2.30375,0.85043,79.95172,-6.890149,-1.934712,0.446416,89.51848,16.79983,-10.556228,2182.080162,106.5032,25.02703,-27.5148,260.80146,,-18.805033,2.733488,3.31815,-1.43602,-2.01986,50,5.22886,1.84471,-125.82268,-0.37892,5.35367,23.983,-34.49099,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,99d5cff0-c288-11ec-91bc-95a4c9711d94,84.43342,26.44626,,6.68646,,,,0.65894,2.2012,-0.81326,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,22:07:26.85,2022-04-22T18:07:26.8543698-04:00,2022-04-22T22:07:26.8543698Z,LineDrive,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,8c16db5c-f1b7-46ac-b4a4-5eba5496e43c,55.68378,-126.90144,11.9915,5.21101,1.17249,-17.2455,-2.09741,1.60391,2.67683,125.671202,0.65884,123.56765,-19.86914,4.38407,-0.89205,0.16582,-0.02531,0.00218,-2E-05,2.20139,37.93869,-15.41712,0.39063,0.08316,-0.03635,0.00148,0.0026,-0.00044,-0.81344,-23.01811,-5.69623,1.98624,-0.55863,0.12611,-0.01648,-0.00028,0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2022-04-22,18:08:22.26,4,1,"Huff, Chance",8890974,Right,GIT_YEL,"Knight, Chad",1000047978,Right,DUK_BLU,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,1,,94.35612,-2.402118,-3.52474,2204.22589,234.809151,1:45,5.4965,1.93904,5.10306,-20.41895,12.35009,15.86674,1.52593,-0.06408,85.4007,-6.190257,-0.723252,0.412006,,,,,,,,,,,,-8.98445,7.2091,-1.61937,50,5.25396,7.62594,-136.44241,-6.51555,-16.77454,32.70441,-18.71414,GIT_YEL,DUK_BLU,GeorgiaTech,D1,ACC,20220422-GeorgiaTech-1,bac00550-c288-11ec-91bc-95a4c9711d94,91.48521,,,8.95542,,,,,,,54a6f4d3-f64a-4653-a524-3f3b475ffa9b,2022-04-22,22:08:22.26,2022-04-22T18:08:22.2650000-04:00,2022-04-22T22:08:22.2650000Z,,v3,,,22 April 2022 18:00-duke@gatech,"Parada, Kevin",691006,Right,GIT_YEL,d144d383-02d0-4cbc-8b34-7caa1f3718fd,55.39453,-137.72938,16.35221,5.49587,-5.77912,-9.35707,-1.93245,8.28604,-8.38727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.99407,2.056508,0.778701,1.277808,1.55049,1.54043,0.06238,-0.00753,6.0477,1.3632,127.28109,7.10682,5.31611,0.26399,110.58952,-8.68534,6.13878,17.39109,-12.99054,1.36204,3.15289,-0.04603,High,High,High,,,High,High,High
